"Funding Agencies","Record Count","% of 354"
"2014 2020 ERDF OPERATIONAL PROGRAMME AND DEPARTMENT OF ECONOMY KNOWLEDGE BUSINESS AND UNIVERSITY OF THE REGIONAL GOVERNMENT OF ANDALUSIA SPAIN",1,0.282
"ACORES 2020 OPERATIONAL PROGRAM",1,0.282
"ADAPTATION FUND THROUGH PROFONANPE FONDO DE PROMOCION DE LAS AREAS NATURALES PROTEGIDAS DEL PERU",1,0.282
"ADELAIDE M AND CHARLES B LINK FOUNDATION",1,0.282
"AGENCE NATIONALE DE LA RECHERCHE ANR",5,1.412
"AGENCIA CATALANA DE L AIGUA",1,0.282
"AGENCIA CATALANA DEL AGUA",1,0.282
"AGENCIA NACIONAL DE INVESTIGACION Y DESARROLLO DE CHILE",1,0.282
"AGRICULTURE FORESTRY AND FISHERIES RESEARCH COUNCIL AFFRC",1,0.282
"AGRICULTURE FORESTRY AND FISHERIES RESEARCH COUNCIL JAPAN",1,0.282
"AGROCAMPUS OUEST",3,0.847
"AGROCAMPUS OUEST RENNES",1,0.282
"ALFRED P SLOAN FOUNDATION",1,0.282
"ANPCYT",2,0.565
"ANTARCTICA NEW ZEALAND",1,0.282
"AOSHAN SCIENCE AND TECHNOLOGY INNOVATION PROJECT",1,0.282
"ARCTIC REGION SUPERCOMPUTING CENTER",1,0.282
"ARDITI REGIONAL AGENCY FOR DEVELOPMENT OF RESEARCH TECHNOLOGY AND INNOVATION OF MADEIRA",1,0.282
"AUDACIOUS PROJECT AT TED",1,0.282
"AUSTRALIAN GOVERNMENT",2,0.565
"AUSTRALIAN RESEARCH COUNCIL",8,2.26
"AVS R D FUND OF THE ICELANDIC MINISTRY OF FISHERIES",1,0.282
"AZTI TECNALIA",1,0.282
"BARECORE NFR",1,0.282
"BASQUE GOVERNMENT",1,0.282
"BEAUFORT MARINE RESEARCH AWARD",1,0.282
"BECASCHILE POSTDOCTORATE PROGRAM",1,0.282
"BELGIAN DEVELOPMENT AGENCY BTC",1,0.282
"BELMONT FORUM PROJECT WORLD WIDE WEB OF PLANKTON IMAGE CURATION",1,0.282
"BICREF",1,0.282
"BIOFUN EUROPEAN SCIENCE FOUNDATION",1,0.282
"BIOLOGY DEPARTMENT OF WESTERN WASHINGTON UNIVERSITY",1,0.282
"BIOTECHNOLOGY AND BIOLOGICAL SCIENCES RESEARCH COUNCIL BBSRC",1,0.282
"BIRKS FAMILY FOUNDATION",1,0.282
"BLOOMBERG PHILANTHROPIES",2,0.565
"BLOOMBERG PHILANTHROPIES THROUGH RARE",1,0.282
"BONNEVILLE POWER ADMINISTRATION",3,0.847
"BONNEVILLE POWER ADMINISTRATION BPA",1,0.282
"BONUS EU",1,0.282
"BONUS NATURVARDSVERKET SWEDISH ENVIRONMENTAL AGENCY",1,0.282
"BONUS PROJECT BIO C3",1,0.282
"BONUS XWEBS PROJECT BONUS ART 185",1,0.282
"BP EXPLORATION PRODUCTION INC",1,0.282
"BP GULF COAST RESTORATION ORGANIZATION",1,0.282
"BP THE GULF OF MEXICO RESEARCH INITIATIVE THROUGH THE UNIVERSITY OF TEXAS MARINE SCIENCE INSTITUTE DROPPS CONSORTIUM DISPERSION RESEARCH ON OIL PHYSICS AND PLANKTON STUDIES",1,0.282
"BRITISH ANTARCTIC SURVEY BAS",1,0.282
"BRUDG PREDOCTORAL FELLOWSHIP",1,0.282
"CALIFORNIA DEPARTMENT OF RESOURCES OCEAN PROTECTION COUNCIL GRANT",1,0.282
"CANADA RESEARCH CHAIR PROGRAMME CANADA RESEARCH CHAIR IN GLOBAL CHANGE ECOTOXICOLOGY",1,0.282
"CANADA RESEARCH CHAIRS",1,0.282
"CANADIAN ITALIAN BUSINESS PROFESSIONAL ASSOCIATION FOR A MERITORIOUS BURSARY",1,0.282
"CANARY ISLAND GOVERNMENT",1,0.282
"CANARY ISLAND GOVERNMENT GOBIERNO DE CANARIAS AGENCIA CANARIA DE INVESTIGACION INNOVACION Y SOCIEDAD DE LA INFORMACION",1,0.282
"CANARY ISLANDS CEI TRICONTINENTAL ATLANTIC CAMPUS",1,0.282
"CANARY ISLANDS GOVERNMENT",1,0.282
"CANARY ISLANDS GOVERNMENT AGENCIA CANARIA DE INVESTIGACION INNOVACION Y SOCIEDAD DE LA INFORMACION",1,0.282
"CARLETON UNIVERSITY",1,0.282
"CEFAS",1,0.282
"CEFAS TECHNOLOGY LIMITED",1,0.282
"CENTER FOR RESEARCH AND ENGAGEMENT OF THE UNIVERSITY OF ST LA SALLE",1,0.282
"CENTER OF EXCELLENCE FOR OCEAN ENGINEERING",1,0.282
"CENTRE FOR ENVIRONMENT FISHERIES AND AQUACULTURE SCIENCE CEFAS",1,0.282
"CENTRE FOR ENVIRONMENT FISHERIES AND AQUACULTURE SCIENCE FEEDING PEOPLE AND CONSERVING BIODIVERSITY OPTIONS TRADEOFFS AND CONSEQUENCES",1,0.282
"CENTRE NATIONAL DE LA RECHERCHE SCIENTIFIQUE CNRS",1,0.282
"CENTRO DE INVESTIGACION Y DE ESTUDIOS AVANZADOS CINVESTAV DEL I P N",1,0.282
"CERES CLIMATE CHANGE AND EUROPEAN AQUATIC RESOURCES",1,0.282
"CESAM",1,0.282
"CGIAR",6,1.695
"CHARLES AND JUNE ROSS FOUNDATION",1,0.282
"CHILEAN GOVERNMENT",1,0.282
"CHINA ASEAN MARITIME COOPERATION FUND",2,0.565
"CHINA SCHOLARSHIP COUNCIL",2,0.565
"CHINESE ACADEMY OF SCIENCES",2,0.565
"CHINESE ACADEMY OF SCIENCES NETWORK SECURITY AND INFORMATIZATION SPECIAL APPLICATION DEMONSTRATION PROJECT",1,0.282
"CIMAR FJORDS PROGRAM",1,0.282
"CLAUDE LEON FOUNDATION",1,0.282
"CLIMATE CHANGE CONSORTIUM FOR WALES C3W",1,0.282
"CLIMFISH A FRAMEWORK FOR ASSESS VULNERABILITY OF COASTAL FISHERIES TO CLIMATE CHANGE IN PORTUGUESE COAST",1,0.282
"CLUSTER OF EXCELLENCE THE FUTURE OCEAN",1,0.282
"CMCC OF LECCE",1,0.282
"CMMI CYPRUS MARINE AND MARITIME INSTITUTE",1,0.282
"COMISION NACIONAL DE INVESTIGACION CIENTIFICA Y TECNOLOGICA CONICYT",6,1.695
"COMMISSION FOR CULTURAL EDUCATIONAL AND SCIENTIFIC EXCHANGE BETWEEN THE UNITED STATES OF AMERICA AND SPAIN",1,0.282
"COMMISSION FOR CULTURAL EDUCATIONAL AND SCIENTIFIC EXCHANGE BETWEEN THE UNITED STATES OF AMERICA AND SPAIN AS A FULBRIGHT UNITED STATES",1,0.282
"COMMONWEALTH SCIENTIFIC INDUSTRIAL RESEARCH ORGANISATION CSIRO",2,0.565
"COMPANY RISTIC AG OBERFERRIEDEN GERMANY",1,0.282
"COMPASS COMPLEX ASSEMBLIES OF SOFT MATTER",1,0.282
"COMPREHENSIVE SAFETY MONITORING SYSTEM OF THREE GORGES PROJECT RESERVOIR OPERATION AND MANAGEMENT FUND",1,0.282
"CONICYT FONDAP",1,0.282
"CONICYT FONDECYT",5,1.412
"CONICYT PIA BASAL",1,0.282
"CONISMA THE ITALIAN NATIONAL INTERUNIVERSITY CONSORTIUM FOR MARINE SCIENCES",1,0.282
"CONSEJO NACIONAL DE CIENCIA Y TECNOLOGIA CONACYT",3,0.847
"CONSEJO NACIONAL DE INVESTIGACIONES CIENTIFICAS Y TECNICAS CONICET",5,1.412
"CONSEJO NACIONAL DE INVESTIGACIONES CIENTIFICAS Y TECNICAS FELLOWSHIP",1,0.282
"CONSELHO NACIONAL DE DESENVOLVIMENTO CIENTIFICO E TECNOLOGICO CNPQ",4,1.13
"CONSORCIO DE INSTITUCIONES DE INVESTIGACION MARINA DEL GOLFO DE MEXICO Y EL CARIBE",1,0.282
"COORDENACAO DE APERFEICOAMENTO DE PESSOAL DE NIVEL SUPERIOR CAPES",2,0.565
"COUNCIL OF SCIENTIFIC INDUSTRIAL RESEARCH CSIR INDIA",2,0.565
"CRUE CSIC",1,0.282
"CSIC SPAIN",1,0.282
"CSIRO COMMUNITY OF PRACTICE INTERNAL INVESTMENT PROJECT",1,0.282
"CSIRO OCEANS AND ATMOSPHERE",1,0.282
"DANIEL AND NINA CARASSO FOUNDATION",1,0.282
"DAUPHIN ISLAND SEA LAB GRADUATE FELLOWSHIP",1,0.282
"DEEPWATER HORIZON EVENT",1,0.282
"DEMAND DRIVEN PRIORITY RESEARCH COREMAP CTI",1,0.282
"DEPARTAMENTO ADMINISTRATIVO DE CIENCIA TECNOLOGIA E INNOVACION COLCIENCIAS PROGRAMA TIEMPO DE VOLVER",1,0.282
"DEPARTMENT FOR ENVIRONMENT FOOD AND RURAL AFFAIRS DETRA",1,0.282
"DEPARTMENT FOR ENVIRONMENT FOOD RURAL AFFAIRS DEFRA",1,0.282
"DEPARTMENT OF AGRICULTURE AND RURAL DEVELOPMENT DARD OF NORTHERN IRELAND",1,0.282
"DEPARTMENT OF AGRICULTURE AND RURAL DEVELOPMENT NORTHERN IRELAND DARDNI",2,0.565
"DEPARTMENT OF AGRICULTURE ENVIRONMENT AND RURAL AFFAIRS DAERA IN NORTHERN IRELAND",1,0.282
"DEPARTMENT OF ARTS HERITAGE REGIONAL RURAL AND GAELTACHT AFFAIRS UNDER THE OBSERVE PROGRAMME",1,0.282
"DEPARTMENT OF EARTH AND PLANETARY SCIENCES FOR A LEROY MEMORIAL FELLOWSHIP IN EARTH AND PLANETARY SCIENCES",1,0.282
"DEPARTMENT OF EDUCATION AND LEARNING DEL BY THE NORTHERN IRELAND ASSEMBLY",1,0.282
"DEPARTMENT OF EDUCATION AND LEARNING NORTHERN IRELAND",1,0.282
"DEPARTMENT OF ENVIRONMENT FOOD AND RURAL AFFAIRS DEVELOPING THE EVIDENCE BASE TO SUPPORT THE INTEGRATION OF FISHERIES AND ENVIRONMENTAL MANAGEMENT",1,0.282
"DEPARTMENT OF MARINE BIOLOGY MICROBIOLOGY BIOCHEMISTRY COCHIN UNIVERSITY OF SCIENCE AND TECHNOLOGY",1,0.282
"DEPARTMENT OF SCIENCE AND TECHNOLOGY OF GUANGXI",1,0.282
"DEPARTMENT OF SCIENCE AND TECHNOLOGY SCIENCE AND ENGINEERING RESEARCH BOARD",1,0.282
"DEPARTMENT OF SCIENCE TECHNOLOGY INDIA",1,0.282
"DERAYA UNIVERSITY MINIA EGYPT",1,0.282
"DEUTSCHER AKADEMISCHER AUSTAUSCH DIENST DAAD",1,0.282
"DSTG",1,0.282
"EAF NANSEN PROGRAMME",1,0.282
"EC MARIE CURIE CIG GRANT",1,0.282
"EC2CO ECOSPHERE CONTINENTALE ET COTIERE PROGRAMME THROUGH THE DYNAMO PROJECT",1,0.282
"EC2CO THROUGH THE DYNAMO PROGRAM",1,0.282
"ECMARIE CURIE CIG GRANT",1,0.282
"ECONOMIC SOCIAL RESEARCH COUNCIL ESRC",1,0.282
"ECOPATH RESEARCH AND DEVELOPMENT CONSORTIUM",1,0.282
"EDF ENERGY",1,0.282
"EEA GRANTS SAFESEA",1,0.282
"EMBRC FRANCE",1,0.282
"ENAGAS SA",1,0.282
"ENGINEERING PHYSICAL SCIENCES RESEARCH COUNCIL EPSRC",1,0.282
"ENVIRONMENT AND LIFE SCIENCES RESEARCH CENTRE KUWAIT INSTITUTE FOR SCIENTIFIC RESEARCH KISR KUWAIT",1,0.282
"EOLIENNES OFFSHORE DU CALVADOS EOC",1,0.282
"ERDF FUNDS",1,0.282
"ESMEE FAIRBAIRN FOUNDATION",3,0.847
"EU DG FISHERIES DATA COLLECTION REGULATION LIFE",1,0.282
"EU FP 7 PROJECT PERSEUS",1,0.282
"EU FP7 GRANT FACTS FORAGE FISH INTERACTIONS",1,0.282
"EUR OCEANS CONSORTIUM",1,0.282
"EUREKA S EUROSTARS PROGRAM",1,0.282
"EUROPEAN COMMISSION JOINT RESEARCH CENTRE",2,0.565
"EUROPEAN COMMUNITY",5,1.412
"EUROPEAN COMMUNITY EC",1,0.282
"EUROPEAN COMMUNITY HERMIONE PROJECT",1,0.282
"EUROPEAN FEDER FUND",1,0.282
"EUROPEAN PROJECT ON OCEAN ACIDIFICATION EUROPEAN COMMUNITY S SEVENTH FRAMEWORK PROGRAMME FP7 2007 2013",1,0.282
"EUROPEAN PROJECT REPRODUCE ERATNET MARIFISH",1,0.282
"EUROPEAN REGIONAL DEVELOPMENT FUND COMPETE PROGRAM OPERATIONAL COMPETITIVENESS PROGRAMME",1,0.282
"EUROPEAN RESEARCH COUNCIL ERC",2,0.565
"EUROPEAN SOCIAL FUND ESF",1,0.282
"EUROPEAN UNION ENPI CBC MEDITERRANEAN SEA BASIN PROGRAMME FOR THE PROJECT MED JELLYRISK",1,0.282
"EUROPEAN UNION EU",28,7.91
"EUROPEAN UNION PROJECT OCEAN CERTAIN",1,0.282
"EUROPEAN UNION S HORIZON 2020 RESEARCH AND INNOVATION PROGRAM",1,0.282
"EUROPEAN UNION S PROJECTS MED JELLYRISK",1,0.282
"EUROPEAN UNION UNDER THE 7TH FRAMEWORK PROGRAMME THE OCEAN OF TOMORROW THEME",1,0.282
"FACULTY OF ECONOMICS BUSINESS AND TOURISM SPLIT",1,0.282
"FAO FISHERIES MANAGEMENT SUPPORT PROJECT ADRIAMED",1,0.282
"FAO FISHERIES MANAGEMENT SUPPORT PROJECT COPEMED",1,0.282
"FAO FISHERIES MANAGEMENT SUPPORT PROJECT EASTMED",1,0.282
"FAO FISHERIES MANAGEMENT SUPPORT PROJECT MEDSUDMED",1,0.282
"FAO GFCM",1,0.282
"FAUNA AND FLORA INTERNATIONAL",1,0.282
"FEDERAL MINISTRY OF EDUCATION RESEARCH BMBF",3,0.847
"FISHERIES CENTRE OF UNIVERSITY OF BRITISH COLUMBIA VANCOUVER CANADA",1,0.282
"FLORIDA FISH AND WILDLIFE CONSERVATION COMMISSION",1,0.282
"FONCYT",3,0.847
"FOUNDATION FOR SCIENCE AND TECHNOLOGY PROJECT",1,0.282
"FOUNDATION FOR SCIENCE AND TECHNOLOGY RESEARCH",1,0.282
"FPI PROGRAM SPANISH MINISTRY OF ECONOMY AND COMPETITIVENESS",1,0.282
"FPU GRANTS FROM THE SPANISH MINISTRY OF EDUCATION CULTURE AND SPORTS",1,0.282
"FRB PROJECT EMIBIOS",1,0.282
"FRENCH FISHING ASSOCIATION SARPC",1,0.282
"FRENCH GENERAL CONSULATE IN VANCOUVER",1,0.282
"FRENCH INSTITUTE FOR THE EXPLOITATION OF THE SEA IFREMER",1,0.282
"FRENCH MINISTRY OF HIGHER EDUCATION AND RESEARCH",3,0.847
"FRIENDS OF CAPTAIN O E LEROY",1,0.282
"FTC",1,0.282
"FUNDACAO DE AMPARO A PESQUISA DO ESTADO DE SAO PAULO FAPESP",4,1.13
"FUNDACAO DE AMPARO A PESQUISA E INOVACAO DO ESTADO DE SANTA CATARINA FAPESC",2,0.565
"FUNDACAO PARA A CIENCIA E A TECNOLOGIA FCT",7,1.977
"FUNDACAO PARA A CIENCIA E A TECNOLOGIA I P FCT PORTUGAL UNDER PROGRAM INVESTIGADOR FCT 2013",1,0.282
"FUNDAMENTAL RESEARCH FUNDS FOR THE CENTRAL UNIVERSITIES",1,0.282
"FWO",1,0.282
"GELAMED PROJECT",1,0.282
"GERMAN FEDERAL MINISTRY OF ECONOMIC COOPERATION AND DEVELOPMENT BMZ",1,0.282
"GERMAN FEDERAL MINISTRY OF EDUCATION AND RESEARCH THROUGH THE INTER SECTORIAL IMPACT MODEL INTERCOMPARISON PROJECT ISIMIP",1,0.282
"GERMAN RESEARCH FOUNDATION DFG",10,2.825
"GERMAN SCIENCE FOUNDATION DFG IN THE AQUASHIFT PRIORITY PROGRAM",1,0.282
"GLOBAL OCEAN ECOSYSTEM DYNAMICS GLOBEC",1,0.282
"GOJELLY PROJECT EU HORIZON 2020",1,0.282
"GOMRI C IMAGE II",1,0.282
"GORDON AND BETTY MOORE FOUNDATION",1,0.282
"GOVERN DE LES ILLES BALEARS CONSELLERIA D INNOVACIO RECERCA I TURISME PROGRAMA VICENC MUT",1,0.282
"GOVERNMENT OF THE REPUBLIC OF CYPRUS",1,0.282
"GRANTS IN AID FOR SCIENTIFIC RESEARCH KAKENHI",3,0.847
"GREECE MINISTRY OF RURAL DEVELOPMENT AND FOOD DIRECTORATE GENERAL OF FISHERIES",1,0.282
"GREEK MINISTRY OF DEVELOPMENT GSRT",1,0.282
"GRIFFITH SCHOOL OF ENVIRONMENT",1,0.282
"GUAM NSF EPSCOR THROUGH THE NATIONAL SCIENCE FOUNDATION",1,0.282
"GUANGXI KEY LABORATORY OF BEIBU GULF MARINE BIODIVERSITY CONSERVATION",1,0.282
"GULF OF MEXICO RESEARCH INITIATIVE C IMAGE II",1,0.282
"GULF RESEARCH PROGRAM OF THE NATIONAL ACADEMY OF SCIENCES",1,0.282
"H2020 SOCIETAL CHALLENGES PROGRAMME",2,0.565
"HELSINKI INSTITUTE OF SUSTAINABILITY SCIENCE HELSUS UNIVERSITY OF HELSINKI",1,0.282
"HIGH LEVEL INNOVATION TEAMS OF GUANGXI COLLEGES AND UNIVERSITIES AND DISTINGUISHED SCHOLARS PROGRAM FUNDS",1,0.282
"HOOD CANAL DISSOLVED OXYGEN PROGRAM",1,0.282
"HORIZON 2020",4,1.13
"HORN POINT LABORATORY EDUCATION COMMITTEE",1,0.282
"I3P CSIC",1,0.282
"ICELANDIC MARINE AND FRESHWATER RESEARCH INSTITUTE",1,0.282
"ICREA",1,0.282
"ICV PECHE PROJECT",1,0.282
"IEO THROUGH FPI",1,0.282
"IFREMER",3,0.847
"IFREMER FRANCE",1,0.282
"IMARPE",1,0.282
"IMR INSTITUTE OF MARINE RESEARCH MENU II NFR",1,0.282
"IMR S REDUS PROJECT",1,0.282
"IN SINAS RESEARCH GRANT",1,0.282
"INDIAN COUNCIL OF AGRICULTURAL RESEARCH CENTRAL MARINE FISHERIES RESEARCH INSTITUTE",1,0.282
"INIDEP",3,0.847
"INITIALIZING FUND FOR FUNDAMENTAL RESEARCH GXAS",2,0.565
"INNOVATE UK",1,0.282
"INSTITUT DE RECHERCHE POUR LE DEVELOPPEMENT JEAI GAMBAS PROJECT",2,0.565
"INSTITUT MENORQUI D ESTUDIS",1,0.282
"INSTITUT PAUL EMILE VICTOR",1,0.282
"INSTITUTE FOR AGRICULTURAL AND FISHERIES RESEARCH ILVO",1,0.282
"INSTITUTO POLITECNICO NACIONAL CIIEMAD",1,0.282
"INTEGRATED MARINE BIOGEOCHEMISTRY AND ECOSYSTEM RESEARCH IMBER",1,0.282
"INTER AMERICAN DEVELOPMENT BANK THROUGH THE IMARPE PRODUCE MINAM PROJECT ADAPTATION TO CLIMATE CHANGE OF THE FISHERY SECTOR AND MARINE COASTAL ECOSYSTEM OF PERU",1,0.282
"INTER AMERICAN INSTITUTE FOR GLOBAL CHANGE RESEARCH IN MONTEVIDEO",1,0.282
"INTERNATIONAL CENTRE FOR THEORETICAL PHYSICS ICTP",1,0.282
"INTERNATIONAL COOPERATION PROJECT",1,0.282
"INTERNATIONAL DOCTORAL FELLOWSHIP UNIVERSITY OF BRITISH COLUMBIA",1,0.282
"INTERNATIONAL OCEAN INSTITUTE",1,0.282
"INTERNATIONAL RESEARCH NETWORK DIVERSITY EVOLUTION AND BIOTECHNOLOGY OF MARINE ALGAE",1,0.282
"INTERNATIONAL WHALING COMMISSION",1,0.282
"INTERREG 4A IRELAND WALES PROGRAMME",1,0.282
"INTERREG EUROPE",2,0.565
"INTERREG PROJECT DEVELOPMENT AND HARMONIZATION OF NEW INDICATORS METHODOLOGIES AND STRATEGIES COMMON FOR PORTUGAL AND SPAIN FOR THE APPLICATION OF THE WATER FRAME DIRECTIVE TO TRANSITIONAL AND COASTAL WATER MASS IN THE GUADIANA",1,0.282
"IOLR SCHOLARSHIP",1,0.282
"IRELAND S DEPARTMENT OF COMMUNICATION CLIMATE ACTION AND ENVIRONMENT",1,0.282
"JAMES COOK UNIVERSITY",1,0.282
"JAPAN INTERNATIONAL COOPERATION AGENCY JICA THROUGH THE SCIENCE AND TECHNOLOGY RESEARCH PARTNERSHIP FOR SUSTAINABLE DEVELOPMENT PROGRAM SATREPS COMPREHENSIVE ASSESSMENT AND CONSERVATION OF BLUE CARBON ECOSYSTEMS AND THEIR SERVICES IN THE CORAL TRIANG",1,0.282
"JAPAN SCIENCE TECHNOLOGY AGENCY JST",2,0.565
"JAPAN SOCIETY FOR THE PROMOTION OF SCIENCE",5,1.412
"JARISLOWSKY FOUNDATION",1,0.282
"JST RISTEX JAPAN",1,0.282
"JUNTA DE ANDALUCIA",1,0.282
"KAPLAN FOUNDATION",1,0.282
"KATHLEEN M AND PETER E NAKTENIS FAMILY FOUNDATION",1,0.282
"KERALA STATE COUNCIL FOR SCIENCE TECHNOLOGY AND ENVIRONMENT",1,0.282
"KEY DEPLOYMENT PROJECT OF CENTER FOR OCEAN MEGA SCIENCE CHINESE ACADEMY OF SCIENCES",1,0.282
"KEY SCIENCE AND TECHNOLOGY PROGRAM OF QINGDAO",1,0.282
"KIEL CLUSTER OF EXCELLENCE THE FUTURE OCEAN",1,0.282
"KILLAM TRUST",1,0.282
"LA CAIXA FOUNDATION",1,0.282
"LABEXMER",2,0.565
