COUNTRY/TERRITORY,size,documents,lat,lon,total km2,land (km2),water,water to land,coastline (km)
Algeria,0.01,1,28.4878,1.278619,2381740,2381741,0,0,1557
Argentina,0.08,8,-35.476914,-65.191286,2780400,2736690,43710,0.015971849,8397
Australia,0.42,42,-26.734617,134.478593,7741220,7633565,58459,0.007658152,66530
Austria,0.03,3,47.631818,14.564874,83871,82445,1426,0.017296379,0
Bangladesh,0.08,8,23.848645,90.243096,148460,130168,13830,0.106247311,3306
Belgium,0.08,8,50.673576,4.619584,30528,30278,250,0.00825682,76
Brazil,0.29,29,-8.661652,-52.52925,8515770,8460415,55352,0.006542469,33379
Brunei Darussalam,0.01,1,4.519548,114.620397,5765,5265,500,0.094966762,269
Bulgaria,0.03,3,42.602765,25.306651,110879,108612,2390,0.022004935,457
Canada,0.63,63,57.487238,-106.499963,9984670,9093507,891163,0.097999925,265523
Cape Verde,0.01,1,16.338568,-23.650726,4033,4033,0,0,1121
Chile,0.03,3,-25.911827,-70.211875,756102,743812,12290,0.016522992,78563
China,0.16,16,33.777126,106.795049,9596960,9326410,270550,0.029009018,30017
Colombia,0.05,5,4.045981,-73.522422,1138910,1038700,100210,0.096476365,5875
Croatia,0.04,4,44.659712,15.3723,56594,55974,620,0.011076571,5664
Cyprus,0.05,5,34.996692,33.252045,9251,9241,10,0.001082134,671
Czech Republic,0.02,2,49.837847,15.332412,78871,77199,1672,0.021658312,77247
Denmark,0.13,13,55.33198,10.334561,43094,42434,660,0.015553566,5316
Ecuador,0.03,3,-1.728621,-78.218852,283561,256369,6720,0.026212218,4597
Egypt,0.06,6,27.246018,29.856004,1001450,995450,6000,0.006027425,5898
Falkland Islands (Malvinas),0.01,1,-51.766547,-59.226165,12173,12173,0,0,-
Faroe Islands,0.02,2,62.141383,-6.97936,1393,1393,0,0,1117
Finland,0.03,3,63.410763,27.023478,338145,303816,34330,0.112996024,31119
France,0.48,48,47.382022,2.14116,643801,640427,3374,0.00526836,7330
Germany,0.18,18,50.733501,9.866083,357022,348672,8350,0.023948008,3624
Greece,0.3,30,39.665861,21.798257,131957,130647,1310,0.010027019,15147
Guinea-Bissau,0.01,1,12.120962,-14.847054,36125,28120,8005,0.284672831,3176
Hong Kong,0.01,1,22.386518,114.128509,1108,1106,1649,1.490958409,955
Hungary,0.05,5,47.084674,19.284828,93028,89608,3420,0.038166235,0
Iceland,0.03,3,64.890164,-17.993481,103000,100250,2750,0.027431421,8506
India,0.17,17,21.632366,78.636499,3287263,2973190,314073,0.105635025,17181
Indonesia,0.17,17,-0.946369,114.530836,1904569,1811569,93000,0.051336714,95181
Iran,0.03,3,32.280362,54.30882,1648195,1531595,116600,0.076129786,5891
Ireland,0.04,4,53.231067,-7.614461,70273,68883,1390,0.020179144,6437
Israel,0.07,7,31.129041,34.93848,21937,20330,440,0.021642892,205
Italy,0.44,44,43.488302,11.993811,301340,294140,7200,0.02447814,9226
Japan,0.11,11,36.201803,139.030161,377915,364546,13430,0.036840344,29020
Kazakhstan,0.01,1,48.961382,67.340824,2724900,2699700,25200,0.00933437,4528
Kenya,0.02,2,0.308255,37.982497,580367,569140,11227,0.019726254,1586
Kuwait,0.02,2,29.452989,47.5242,17818,17818,0,0,756
Lebanon,0.01,1,33.927003,35.850034,10400,10230,170,0.016617791,294
Malaysia,0.07,7,4.672229,101.94895,329847,329613,1190,0.003610294,9323
Malta,0.02,2,35.900664,14.424348,316,316,0,0,198
Marshall Islands,0.01,1,7.1315,171.1845,181.48,181.48,11673,0.015546989,370.4
Mauritania,0.01,1,20.6029,-10.195962,1030700,1025520,4480,0.004368515,1268
Mexico,0.08,8,23.495834,-102.850002,1964375,1943945,20430,0.010509557,23761
Monaco,0.01,1,43.738904,7.425166,2,2.02,0,0,-
Morocco,0.01,1,32.135372,-6.131051,716550,446300,250,0.000560161,2009
Netherlands,0.08,8,52.080235,5.516467,41543,33893,7650,0.225710324,1914
New Caledonia,0.01,1,-21.248473,165.487015,18575,18275,300,0.016415869,3624
New Zealand,0.03,3,-42.493348,172.276466,268838,262443,4395,0.016746494,17209
Norway,0.15,15,61.379944,9.042994,323802,365957,19520,0.0533396,53199
Oman,0.02,2,20.935902,56.887723,309500,309500,0,0,2810
Papua New Guinea,0.01,1,-6.021961,144.524863,462840,452860,9980,0.022037716,20197
Peru,0.02,2,-10.103667,-74.724788,1285216,1279996,5220,0.004078138,3362
Philippines,0.18,18,15.277695,120.830165,300000,298170,1830,0.006137438,33900
Poland,0.03,3,52.430936,19.386023,312685,304255,8430,0.027707022,1032
Portugal,0.2,20,39.481883,-8.374047,92090,91119,1107,0.012148948,2830
Puerto Rico,0.01,1,18.215497,-66.448691,9104,9104,3054,0.335456942,1094
Qatar,0.01,1,25.345188,51.218523,11586,11586,0,0,909
Romania,0.02,2,45.996339,25.117577,238391,231291,7100,0.03069726,696
Russian Federation,0.04,4,62.407258,90.221098,17098242,16377742,720500,0.043992633,110310
Saudi Arabia,0.05,5,24.614044,24.614044,2149690,2149690,0,0,7572
Seychelles,0.03,3,-4.86704,55.579861,455,455,0,0,747
Singapore,0.01,1,1.345573,103.841495,719,716,10,0.01396648,268
Slovenia,0.03,3,46.117425,14.811645,20273,20151,122,0.00605429,41
Solomon Islands,0.01,1,-8.825454,159.582958,28896,27986,910,0.032516258,9880
South Africa,0.11,11,-29.331707,24.420628,1219090,1214470,4620,0.003804129,3751
South Korea,0.02,2,36.792746,127.939255,99720,99909,301,0.003012742,12478
Spain,0.5,50,40.353345,-3.265959,505370,498980,6390,0.012806124,7268
Sri Lanka,0.02,2,7.736468,80.848449,65610,62732,2878,0.045877702,2825
Sweden,0.06,6,63.714721,16.616597,450295,410335,39960,0.097383845,26384
Switzerland,0.05,5,46.927894,8.410602,41277,39997,1280,0.0320024,0
Syrian Arab Republic,0.01,1,35.236474,38.642973,187437,183630,1550,0.008440887,212
Taiwan,0.03,3,23.741508,121.037693,35980,32260,3720,0.115313081,2007
Thailand,0.05,5,15.809257,101.54326,513120,510890,2230,0.004364932,7066
Tunisia,0.02,2,34.389129,9.45989,163610,155360,8250,0.053102472,1927
Turkey,0.16,16,38.981898,30.046165,783562,769632,13930,0.018099559,8140
Undefined,0.02,2,,,,,,,
United Kingdom,0.46,46,52.649882,-1.684604,243610,241930,1680,0.006944157,19717
United States,0.8,80,41.295946,-98.159547,9833517,9147643,377424,0.041259153,133312
Uruguay,0.01,1,-32.600567,-55.731536,176215,175015,1200,0.006856555,1096
Venezuela,0.01,1,7.683283,-65.749121,912050,882050,30000,0.034011677,6762
Viet Nam,0.03,3,14.176991,108.095099,331210,310070,21140,0.068178153,11409